Year,Geo_Level,State_ANSI,Commodity_ID,Quantity
2018,STATE,5,2,"14,00,000"
2018,STATE,6,2,"1,37,35,000"
2018,STATE,8,2,"14,88,000"
2018,STATE,12,2,"1,05,35,000"
2018,STATE,13,2,"33,32,000"
2018,STATE,15,2,"17,51,000"
2018,STATE,16,2,"29,76,000"
2018,STATE,17,2,"4,51,000"
2018,STATE,18,2,"3,22,000"
2018,STATE,19,2,"18,62,000"
2018,STATE,20,2,"3,65,000"
2018,STATE,21,2,"1,64,000"
2018,STATE,22,2,"37,35,000"
2018,STATE,23,2,"3,84,000"
2018,STATE,26,2,"42,68,000"
2018,STATE,27,2,"72,59,000"
2018,STATE,28,2,"17,40,000"
2018,STATE,29,2,"4,05,000"
2018,STATE,30,2,"1,47,20,000"
2018,STATE,31,2,"23,60,000"
2018,STATE,34,2,"4,03,000"
2018,STATE,36,2,"26,88,000"
2018,STATE,37,2,"3,30,000"
2018,STATE,38,2,"3,96,00,000"
2018,STATE,39,2,"10,22,000"
2018,STATE,41,2,"32,55,000"
2018,STATE,,2,"13,99,000"
2018,STATE,42,2,"8,36,000"
2018,STATE,45,2,"7,68,000"
2018,STATE,46,2,"1,19,85,000"
2018,STATE,47,2,"3,22,000"
2018,STATE,48,2,"73,92,000"
2018,STATE,49,2,"10,66,000"
2018,STATE,50,2,"3,36,000"
2018,STATE,51,2,"1,60,000"
2018,STATE,53,2,"33,11,000"
2018,STATE,54,2,"2,22,000"
2018,STATE,55,2,"22,95,000"
2018,STATE,56,2,"21,84,000"
2017,STATE,1,2,"3,15,000"
2017,STATE,4,2,"8,80,000"
2017,STATE,5,2,"19,72,000"
2017,STATE,6,2,"1,37,35,000"
2017,STATE,8,2,"14,19,000"
2017,STATE,12,2,"88,15,000"
2017,STATE,13,2,"31,68,000"
2017,STATE,15,2,"24,89,000"
2017,STATE,16,2,"41,80,000"
2017,STATE,17,2,"5,06,000"
2017,STATE,18,2,"4,16,000"
2017,STATE,19,2,"20,30,000"
2017,STATE,20,2,"5,53,000"
2017,STATE,21,2,"1,90,000"
2017,STATE,22,2,"34,83,000"
2017,STATE,23,2,"3,96,000"
2017,STATE,26,2,"39,15,000"
2017,STATE,27,2,"78,12,000"
2017,STATE,28,2,"15,48,000"
2017,STATE,29,2,"5,20,000"
2017,STATE,30,2,"1,04,40,000"
2017,STATE,31,2,"26,46,000"
2017,STATE,34,2,"3,64,000"
2017,STATE,36,2,"31,92,000"
2017,STATE,37,2,"4,51,000"
2017,STATE,38,2,"3,36,70,000"
2017,STATE,39,2,"10,95,000"
2017,STATE,41,2,"31,20,000"
2017,STATE,,2,"15,18,000"
2017,STATE,42,2,"7,36,000"
2017,STATE,45,2,"5,44,000"
2017,STATE,46,2,"1,45,35,000"
2017,STATE,47,2,"2,87,000"
2017,STATE,48,2,"79,20,000"
2017,STATE,49,2,"8,37,000"
2017,STATE,50,2,"3,78,000"
2017,STATE,51,2,"2,10,000"
2017,STATE,53,2,"34,65,000"
2017,STATE,54,2,"2,40,000"
2017,STATE,55,2,"29,68,000"
2017,STATE,56,2,"20,67,000"
2016,STATE,1,2,"3,64,000"
2016,STATE,4,2,"12,42,000"
2016,STATE,5,2,"16,56,000"
2016,STATE,6,2,"1,11,60,000"
2016,STATE,8,2,"12,80,000"
2016,STATE,12,2,"1,07,50,000"
2016,STATE,13,2,"37,44,000"
2016,STATE,15,2,"20,34,000"
2016,STATE,16,2,"32,98,000"
2016,STATE,17,2,"4,80,000"
2016,STATE,18,2,"4,96,000"
2016,STATE,19,2,"17,76,000"
2016,STATE,20,2,"3,36,000"
2016,STATE,21,2,"2,30,000"
2016,STATE,22,2,"43,00,000"
2016,STATE,23,2,"4,08,000"
2016,STATE,26,2,"53,40,000"
2016,STATE,27,2,"73,16,000"
2016,STATE,28,2,"16,15,000"
2016,STATE,29,2,"4,96,000"
2016,STATE,30,2,"1,22,43,000"
2016,STATE,31,2,"22,08,000"
2016,STATE,34,2,"3,24,000"
2016,STATE,36,2,"36,48,000"
2016,STATE,37,2,"4,44,000"
2016,STATE,38,2,"3,78,30,000"
2016,STATE,39,2,"11,85,000"
2016,STATE,41,2,"25,90,000"
2016,STATE,,2,"16,01,000"
2016,STATE,42,2,"9,50,000"
2016,STATE,45,2,"7,20,000"
2016,STATE,46,2,"1,98,80,000"
2016,STATE,47,2,"3,30,000"
2016,STATE,48,2,"93,10,000"
2016,STATE,49,2,"9,92,000"
2016,STATE,50,2,"3,12,000"
2016,STATE,51,2,"1,90,000"
2016,STATE,53,2,"29,40,000"
2016,STATE,54,2,"1,60,000"
2016,STATE,55,2,"33,48,000"
2016,STATE,56,2,"27,20,000"
2015,STATE,1,2,"3,29,000"
2015,STATE,4,2,"12,74,000"
2015,STATE,5,2,"17,28,000"
2015,STATE,6,2,"82,50,000"
2015,STATE,8,2,"14,79,000"
2015,STATE,12,2,"1,18,80,000"
2015,STATE,13,2,"27,60,000"
