Year,Period,Geo_Level,State_ANSI,Commodity_ID,Domain,Quantity
1995,YEAR,STATE,36,4,TOTAL,231805000
1995,YEAR,STATE,38,4,TOTAL,26000
1995,YEAR,STATE,47,4,TOTAL,169000
1995,YEAR,STATE,55,4,TOTAL,25855000
1994,YEAR,STATE,6,4,TOTAL,286766000
1994,YEAR,STATE,8,4,TOTAL,28701000
1994,YEAR,STATE,17,4,TOTAL,18305000
1994,YEAR,STATE,36,4,TOTAL,229680000
1994,YEAR,STATE,37,4,TOTAL,4010000
1994,YEAR,STATE,38,4,TOTAL,28000
1994,YEAR,STATE,55,4,TOTAL,21476000
1993,YEAR,STATE,6,4,TOTAL,284944000
1993,YEAR,STATE,8,4,TOTAL,27097000
1993,YEAR,STATE,17,4,TOTAL,15267000
1993,YEAR,STATE,36,4,TOTAL,207202000
1993,YEAR,STATE,37,4,TOTAL,4697000
1993,YEAR,STATE,38,4,TOTAL,25000
1993,YEAR,STATE,48,4,TOTAL,31071000
1993,YEAR,STATE,55,4,TOTAL,21246000
1992,YEAR,STATE,6,4,TOTAL,237695000
1992,YEAR,STATE,8,4,TOTAL,27572000
1992,YEAR,STATE,12,4,TOTAL,8349000
1992,YEAR,STATE,17,4,TOTAL,15899000
1992,YEAR,STATE,26,4,TOTAL,105402000
1992,YEAR,STATE,36,4,TOTAL,200787000
1992,YEAR,STATE,37,4,TOTAL,3969000
1992,YEAR,STATE,48,4,TOTAL,29239000
1991,YEAR,STATE,6,4,TOTAL,232764000
1991,YEAR,STATE,12,4,TOTAL,9500000
1991,YEAR,STATE,17,4,TOTAL,11520000
1991,YEAR,STATE,19,4,TOTAL,7753000
1991,YEAR,STATE,36,4,TOTAL,185518000
1991,YEAR,STATE,37,4,TOTAL,3176000
1991,YEAR,STATE,42,4,TOTAL,3859000
1991,YEAR,STATE,48,4,TOTAL,24829000
1991,YEAR,STATE,55,4,TOTAL,11821000
1990,YEAR,STATE,6,4,TOTAL,233748000
1990,YEAR,STATE,17,4,TOTAL,10900000
1990,YEAR,STATE,19,4,TOTAL,11058000
1990,YEAR,STATE,36,4,TOTAL,189012000
1990,YEAR,STATE,37,4,TOTAL,2545000
1990,YEAR,STATE,48,4,TOTAL,18988000
1990,YEAR,STATE,55,4,TOTAL,10868000
