Year,Period,Geo_Level,State_ANSI,Commodity_ID,Domain,Quantity
2023,MAR,STATE,42,5,TOTAL,"87,10,00,000"
2023,MAR,STATE,46,5,TOTAL,"36,70,00,000"
2023,MAR,STATE,48,5,TOTAL,"1,50,50,00,000"
2023,MAR,STATE,49,5,TOTAL,"18,00,00,000"
2023,MAR,STATE,50,5,TOTAL,"21,90,00,000"
2023,MAR,STATE,51,5,TOTAL,"12,50,00,000"
2023,MAR,STATE,53,5,TOTAL,"54,10,00,000"
2023,MAR,STATE,55,5,TOTAL,"2,73,50,00,000"
2023,MAY,STATE,4,5,TOTAL,"42,70,00,000"
2023,MAY,STATE,6,5,TOTAL,"3,64,40,00,000"
2023,MAY,STATE,8,5,TOTAL,"45,80,00,000"
2023,MAY,STATE,12,5,TOTAL,"16,80,00,000"
2023,MAY,STATE,13,5,TOTAL,"17,80,00,000"
2023,MAY,STATE,16,5,TOTAL,"1,48,10,00,000"
2023,MAY,STATE,17,5,TOTAL,"15,30,00,000"
2023,MAY,STATE,18,5,TOTAL,"39,10,00,000"
2023,MAY,STATE,19,5,TOTAL,"51,00,00,000"
2023,MAY,STATE,20,5,TOTAL,"37,30,00,000"
2023,MAY,STATE,26,5,TOTAL,"1,03,70,00,000"
2023,MAY,STATE,27,5,TOTAL,"91,70,00,000"
2023,MAY,STATE,35,5,TOTAL,"60,80,00,000"
2023,MAY,STATE,36,5,TOTAL,"1,39,20,00,000"
2023,MAY,STATE,39,5,TOTAL,"49,00,00,000"
2023,MAY,STATE,41,5,TOTAL,"22,80,00,000"
2023,MAY,STATE,42,5,TOTAL,"87,80,00,000"
2023,MAY,STATE,46,5,TOTAL,"37,50,00,000"
2023,MAY,STATE,48,5,TOTAL,"1,44,50,00,000"
2023,MAY,STATE,49,5,TOTAL,"18,90,00,000"
2023,MAY,STATE,50,5,TOTAL,"22,30,00,000"
2023,MAY,STATE,51,5,TOTAL,"12,40,00,000"
2023,MAY,STATE,53,5,TOTAL,"54,30,00,000"
2023,MAY,STATE,55,5,TOTAL,"2,78,50,00,000"
2022,APR,STATE,4,5,TOTAL,"43,30,00,000"
2022,APR,STATE,6,5,TOTAL,"3,61,40,00,000"
2022,APR,STATE,8,5,TOTAL,"44,10,00,000"
2022,APR,STATE,12,5,TOTAL,"17,50,00,000"
2022,APR,STATE,13,5,TOTAL,"17,60,00,000"
2022,APR,STATE,16,5,TOTAL,"1,37,80,00,000"
2022,APR,STATE,17,5,TOTAL,"15,00,00,000"
2022,APR,STATE,18,5,TOTAL,"37,40,00,000"
2022,APR,STATE,19,5,TOTAL,"47,70,00,000"
2022,APR,STATE,20,5,TOTAL,"34,30,00,000"
2022,APR,STATE,26,5,TOTAL,"97,80,00,000"
2022,APR,STATE,27,5,TOTAL,"86,10,00,000"
2022,APR,STATE,35,5,TOTAL,"62,10,00,000"
2022,APR,STATE,36,5,TOTAL,"1,30,50,00,000"
2022,APR,STATE,39,5,TOTAL,"46,20,00,000"
2022,APR,STATE,41,5,TOTAL,"22,60,00,000"
2022,APR,STATE,42,5,TOTAL,"85,50,00,000"
2022,APR,STATE,46,5,TOTAL,"33,60,00,000"
2022,APR,STATE,48,5,TOTAL,"1,39,50,00,000"
2022,APR,STATE,49,5,TOTAL,"18,30,00,000"
2022,APR,STATE,50,5,TOTAL,"21,50,00,000"
2022,APR,STATE,51,5,TOTAL,"12,60,00,000"
2022,APR,STATE,53,5,TOTAL,"52,60,00,000"
2022,APR,STATE,55,5,TOTAL,"2,64,10,00,000"
2022,AUG,STATE,4,5,TOTAL,"36,10,00,000"
2022,AUG,STATE,6,5,TOTAL,"3,46,30,00,000"
2022,AUG,STATE,8,5,TOTAL,"45,60,00,000"
2022,AUG,STATE,12,5,TOTAL,"14,70,00,000"
2022,AUG,STATE,13,5,TOTAL,"16,30,00,000"
2022,AUG,STATE,16,5,TOTAL,"1,44,90,00,000"
2022,AUG,STATE,17,5,TOTAL,"13,80,00,000"
2022,AUG,STATE,18,5,TOTAL,"36,30,00,000"
2022,AUG,STATE,19,5,TOTAL,"49,30,00,000"
2022,AUG,STATE,20,5,TOTAL,"34,80,00,000"
2022,AUG,STATE,26,5,TOTAL,"99,30,00,000"
2022,AUG,STATE,27,5,TOTAL,"89,90,00,000"
2022,AUG,STATE,35,5,TOTAL,"58,80,00,000"
2022,AUG,STATE,36,5,TOTAL,"1,32,90,00,000"
2022,AUG,STATE,39,5,TOTAL,"46,50,00,000"
2022,AUG,STATE,41,5,TOTAL,"22,00,00,000"
2022,AUG,STATE,42,5,TOTAL,"82,10,00,000"
2022,AUG,STATE,46,5,TOTAL,"36,80,00,000"
2022,AUG,STATE,48,5,TOTAL,"1,38,50,00,000"
2022,AUG,STATE,49,5,TOTAL,"18,60,00,000"
2022,AUG,STATE,50,5,TOTAL,"21,40,00,000"
2022,AUG,STATE,51,5,TOTAL,"11,60,00,000"
2022,AUG,STATE,53,5,TOTAL,"51,90,00,000"
2022,AUG,STATE,55,5,TOTAL,"2,72,80,00,000"
2022,DEC,STATE,4,5,TOTAL,"40,70,00,000"
2022,DEC,STATE,6,5,TOTAL,"3,48,20,00,000"
2022,DEC,STATE,8,5,TOTAL,"44,30,00,000"
2022,DEC,STATE,12,5,TOTAL,"15,70,00,000"
2022,DEC,STATE,13,5,TOTAL,"17,50,00,000"
2022,DEC,STATE,16,5,TOTAL,"1,37,80,00,000"
2022,DEC,STATE,17,5,TOTAL,"14,20,00,000"
2022,DEC,STATE,18,5,TOTAL,"37,40,00,000"
2022,DEC,STATE,19,5,TOTAL,"49,40,00,000"
2022,DEC,STATE,20,5,TOTAL,"35,20,00,000"
2022,DEC,STATE,26,5,TOTAL,"99,60,00,000"
2022,DEC,STATE,27,5,TOTAL,"88,30,00,000"
2022,DEC,STATE,35,5,TOTAL,"57,50,00,000"
2022,DEC,STATE,36,5,TOTAL,"1,31,70,00,000"
2022,DEC,STATE,39,5,TOTAL,"46,60,00,000"
2022,DEC,STATE,41,5,TOTAL,"21,20,00,000"
2022,DEC,STATE,42,5,TOTAL,"82,80,00,000"
2022,DEC,STATE,46,5,TOTAL,"35,50,00,000"
2022,DEC,STATE,48,5,TOTAL,"1,38,80,00,000"
2022,DEC,STATE,49,5,TOTAL,"17,70,00,000"
2022,DEC,STATE,50,5,TOTAL,"21,40,00,000"
2022,DEC,STATE,51,5,TOTAL,"11,50,00,000"
2022,DEC,STATE,53,5,TOTAL,"50,20,00,000"
2022,DEC,STATE,55,5,TOTAL,"2,66,10,00,000"
2022,FEB,STATE,4,5,TOTAL,"39,40,00,000"
2022,FEB,STATE,6,5,TOTAL,"3,31,10,00,000"
2022,FEB,STATE,8,5,TOTAL,"40,20,00,000"
2022,FEB,STATE,12,5,TOTAL,"16,60,00,000"
2022,FEB,STATE,13,5,TOTAL,"16,20,00,000"
2022,FEB,STATE,16,5,TOTAL,"1,24,20,00,000"
2022,FEB,STATE,17,5,TOTAL,"13,80,00,000"
2022,FEB,STATE,18,5,TOTAL,"34,20,00,000"
2022,FEB,STATE,19,5,TOTAL,"43,20,00,000"
2022,FEB,STATE,20,5,TOTAL,"31,50,00,000"
2022,FEB,STATE,26,5,TOTAL,"89,90,00,000"
2022,FEB,STATE,27,5,TOTAL,"80,40,00,000"
2022,FEB,STATE,35,5,TOTAL,"57,10,00,000"
2022,FEB,STATE,36,5,TOTAL,"1,18,70,00,000"
2022,FEB,STATE,39,5,TOTAL,"42,70,00,000"
2022,FEB,STATE,41,5,TOTAL,"20,60,00,000"
2022,FEB,STATE,42,5,TOTAL,"78,20,00,000"
2022,FEB,STATE,46,5,TOTAL,"30,60,00,000"
2022,FEB,STATE,48,5,TOTAL,"1,25,70,00,000"
2022,FEB,STATE,49,5,TOTAL,"16,60,00,000"
2022,FEB,STATE,50,5,TOTAL,"19,80,00,000"
2022,FEB,STATE,51,5,TOTAL,"11,50,00,000"
2022,FEB,STATE,53,5,TOTAL,"49,00,00,000"
2022,FEB,STATE,55,5,TOTAL,"2,43,80,00,000"
2022,JAN,STATE,4,5,TOTAL,"41,00,00,000"
2022,JAN,STATE,6,5,TOTAL,"3,53,50,00,000"
2022,JAN,STATE,8,5,TOTAL,"44,50,00,000"
2022,JAN,STATE,12,5,TOTAL,"18,50,00,000"
2022,JAN,STATE,13,5,TOTAL,"17,40,00,000"
2022,JAN,STATE,16,5,TOTAL,"1,36,60,00,000"
2022,JAN,STATE,17,5,TOTAL,"14,90,00,000"
2022,JAN,STATE,18,5,TOTAL,"37,50,00,000"
2022,JAN,STATE,19,5,TOTAL,"47,10,00,000"
2022,JAN,STATE,20,5,TOTAL,"34,60,00,000"
2022,JAN,STATE,26,5,TOTAL,"98,30,00,000"
2022,JAN,STATE,27,5,TOTAL,"88,20,00,000"
