track_id,track_name,artist_name,artist_count,realeased_date,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts
71,T il,"dennis, MC Kevin o Chris",2,04-05-2023,731,15,111947664,27,17
72,Boy's a liar Pt. 2,"PinkPantheress, Ice Spice",2,03-02-2023,5184,41,156338624,154,84
73,Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, BTS, Jung Kook",3,24-06-2022,3107,39,720434240,38,0
74,BESO,"Rauw Alejandro, ROSAL ",2,24-03-2023,4053,50,357925728,82,121
75,Hey Mor,"Ozuna, Feid",2,06-10-2022,4637,38,674072710,63,79
76,Yellow,Chris Molitor,1,01-01-1999,31358,43,1755214421,196,2
77,Karma,Taylor Swift,1,21-10-2022,3818,23,404562836,37,55
78,People,Libianca,1,02-12-2022,3506,56,373199958,105,64
79,Overdrive,Post Malone,1,14-07-2023,410,36,14780425,36,32
80,Enchanted (Taylor's Version),Taylor Swift,1,07-07-2023,148,24,39578178,32,93
81,BABY HELLO,"Rauw Alejandro, Bizarrap",2,23-06-2023,1004,35,54266102,42,80
82,Heat Waves,Glass Animals,1,28-06-2020,22543,63,2557975762,386,144
83,golden hour,JVKE,1,15-07-2022,4511,36,751134527,70,58
84,Sweater Weather,The Neighbourhood,1,14-05-2012,16413,61,2282771485,166,87
85,"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",2,06-07-2022,8506,45,1356565093,94,65
86,Viva La Vida,Coldplay,1,01-01-2008,33898,62,1592909789,233,0
87,Here With Me,d4vd,1,17-07-2022,3246,23,635412045,94,85
88,Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",2,22-09-2022,8576,42,1230675890,216,108
89,Yandel 150,"Yandel, Feid",2,20-12-2022,3618,38,585695368,47,74
90,CORAZ  N VA,Maria Becerra,1,22-06-2023,370,20,43857627,12,16
91,Riptide,Vance Joy,1,01-01-1975,31123,55,2009094673,300,65
92,Until I Found You (with Em Beihold) - Em Beihold Version,"Em Beihold, Stephen Sanchez",2,22-04-2022,2790,30,600976848,60,96
93,Novidade na,"Mc Livinho, DJ Matt D",2,23-06-2023,267,9,39709092,9,6
94,Back To December (Taylor's Version),Taylor Swift,1,07-07-2023,139,17,39228929,16,72
95,STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",2,09-07-2021,17050,36,2665343922,492,99
96,El Merengue,"Marshmello, Manuel Turizo",2,03-03-2023,2114,44,223633238,80,75
97,Someone You Loved,Lewis Capaldi,1,08-11-2018,17836,53,2887241814,440,125
98,Me Porto Bonito,"Chencho Corleone, Bad Bunny",2,06-05-2022,8870,43,1440757818,104,120
99,Makeba,Jain,1,22-06-2015,6060,53,165484133,150,148
100,MONTAGEM - FR PUNK,"Ayparia, unxbected",2,20-06-2012,641,50,58054811,1,52
101,Fast Car,Luke Combs,1,24-03-2023,1446,12,157058870,57,97
102,What It Is (Solo Version),Doechii,1,17-03-2023,804,25,95131998,29,76
103,Coco Chanel,"Bad Bunny, Eladio Carrion",2,17-03-2023,1962,38,250305248,28,89
104,Doniiit Bl,Taylor Swift,1,08-11-2017,4875,23,685032533,19,45
105,Still With You,Jung Kook,1,05-06-2020,31,39,38411956,2,107
106,All My Life (feat. J. Cole),"J. Cole, Lil Durk",2,12-05-2023,2175,23,144565150,69,145
107,Say Yes To Heaven,Lana Del Rey,1,17-03-2023,2000,46,127567540,49,105
108,Snooze,SZA,1,09-12-2022,2839,25,399686758,58,156
109,Summertime Sadness,Lana Del Rey,1,01-01-2011,20333,52,983637508,89,143
110,Take Two,BTS,1,09-06-2023,674,47,118482347,20,106
111,Lover,Taylor Swift,1,01-01-2012,8448,23,882831184,160,110
112,Too Many Nights (feat. Don Toliver & with Future),"Future, Metro Boomin, Don Toliver",3,02-12-2022,2110,58,286400165,17,119
113,Chemical,Post Malone,1,14-04-2023,2528,39,172825906,56,91
114,Mockingbird,Eminem,1,01-01-2004,12985,61,1241559043,49,98
115,New Jeans,NewJeans,1,07-07-2023,77,35,29562220,8,166
116,Primera Cita,Carin Leon,1,20-04-2022,266,27,77309611,6,40
117,Cold Heart - PNAU Remix,"Dua Lipa, Elton John, Pnau",3,10-11-2017,21097,52,1605224506,384,135
118,Dandelions,Ruth B.,1,28-04-2017,3423,21,1116995633,41,100
119,Bones,Imagine Dragons,1,11-03-2021,4198,44,838079900,98,108
120,Set Fire to the Rain,Adele,1,01-01-2011,14739,43,1163620694,88,112
121,Money Trees,"Kendrick Lamar, Jay Rock",2,01-01-2012,26792,32,1093605526,69,113
122,Tak Segampang Itu,Anggi Marito,1,02-12-2022,213,6,179659294,7,6
123,LAGUNAS,"Jasiel Nu  ez, Peso P",2,22-06-2023,58,18,39058561,2,106
124,Mine (Taylor's Version),Taylor Swift,1,07-07-2023,99,15,36912123,21,52
125,Everybody Wants To Rule The World,Tears For Fears,1,17-02-1985,41751,25,1205951614,101,32
126,No Role Modelz,J. Cole,1,09-12-2014,21164,36,1791000570,80,65
127,Tattoo,Loreen,1,25-02-2023,2988,59,201660859,74,102
128,Rara Vez,"Taiu, Milo j",2,08-02-2023,893,38,248088961,19,23
129,VAGABUNDO,"Sebastian Yatra, Manuel Turizo, Be  ",3,12-05-2023,1094,34,90839753,40,58
130,august,Taylor Swift,1,24-07-2020,7324,22,607123776,25,81
131,LUNA,"Junior H, Peso Pluma",2,22-06-2023,201,11,55842345,19,117
132,Miracle (with Ellie Goulding),"Calvin Harris, Ellie Goulding",2,10-03-2023,5120,48,211050784,161,115
133,Nonsense,Sabrina Carpenter,1,15-07-2022,2346,27,342897938,69,12
134,Que Vuelvas,"Carin Leon, Grupo Frontera",2,09-12-2022,763,26,2762,21,110
135,Por las Noches,Peso Pluma,1,11-06-2021,457,24,330346424,8,116
136,Feliz Cumplea  os Fe,Feid,1,19-08-2022,3430,38,601863821,45,69
137,Can't Hold Us (feat. Ray Dalton),"Ray Dalton, Ryan Lewis, Macklemore",3,16-08-2011,6074,52,1953533826,201,44
138,Watermelon Sugar,Harry Styles,1,17-11-2019,21915,34,2322580122,437,115
139,lovely - Bonus Track,"Billie Eilish, Khalid",2,11-08-2017,15032,30,2355719893,221,96
140,"Rauw Alejandro: Bzrp Music Sessions, Vol. 56","Rauw Alejandro, Bizarrap",2,21-06-2023,871,32,66902503,25,59
141,Queencard,(G)I-DLE,1,15-05-2023,451,33,96273746,10,126
142,OMG,NewJeans,1,02-01-2023,1783,27,430977451,26,124
143,Radio,Lana Del Rey,1,01-01-2011,9389,46,284819874,24,122
144,"Shakira: Bzrp Music Sessions, Vol. 53","Shakira, Bizarrap",2,11-01-2023,5724,44,721975598,119,108
145,505,Arctic Monkeys,1,20-04-2007,13985,25,1217120710,30,80
146,"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)","Swae Lee, A Boogie Wit da Hoodie, Metro Boomin, NAV",4,02-06-2023,1051,16,109276132,31,37
147,Trance (with Travis Scott & Young Thug),"Travis Scott, Young Thug, Metro Boomin",3,02-12-2022,1682,46,276259178,24,90
148,"Tere Vaaste (From ""Zara Hatke Zara Bachke"")","Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya, Varun Jain",5,22-05-2023,182,8,54225632,3,88
149,Perfect,Ed Sheeran,1,01-01-2017,16596,13,2559529074,7,0
150,Romantic Homicide,d4vd,1,20-07-2022,2335,23,681583126,82,55
151,Believer,Imagine Dragons,1,31-01-2017,18986,23,2594040133,250,121
152,Novo Balan ,"Veigh, Bvga Beatz, Supernova Ent, Prod Malax",4,19-05-2023,283,7,81102253,6,9
153,"Gol Bolinha, Gol Quadrado 2","Mc Pedrinho, DJ 900",2,01-06-2023,293,8,11956641,5,2
154,Without Me,Eminem,1,01-01-2002,21081,43,1687664027,98,76
155,QUEMA,"Sog, Ryan Castro, Peso Pluma",3,13-07-2023,437,31,11599388,17,29
156,Stargirl Interlude,"The Weeknd, Lana Del Rey",2,24-11-2016,1275,32,611700552,13,8
157,Ojitos Lindos,"Bomba Est  reo, Bad B",2,06-05-2022,6135,38,1133865788,71,113
158,Somewhere Only We Know,Keane,1,01-01-2004,20015,16,1089402494,107,69
159,Those Eyes,New West,1,10-05-2019,1507,14,411747614,24,71
160,El Gordo Trae El Mando,Chino Pacas,1,27-01-2023,539,21,255932395,7,71
161,Mi Bello Angel,Natanael Cano,1,30-06-2023,86,8,31873544,7,76
162,Bye,Peso Pluma,1,26-05-2023,324,14,95053634,13,110
163,Danza Kuduro,"Don Omar, Lucenzo",2,01-01-2010,17138,37,1279434863,119,81
164,Nosso Quadro,"Ana Castela, AgroPlay",2,02-02-2023,894,9,233801632,14,88
165,Locked Out Of Heaven,Bruno Mars,1,05-12-2012,1622,9,1481349984,0,0
166,Un Finde | CROSSOVER #2,"Big One, FMK, Ke personajes",3,04-04-2023,561,14,142095275,4,14
167,Jimmy Cooks (feat. 21 Savage),"Drake, 21 Savage",2,17-06-2022,5871,27,618885532,81,121
168,Counting Stars,OneRepublic,1,01-01-2013,29215,43,2011464183,179,97
169,Ghost,Justin Bieber,1,19-03-2021,5866,24,1167330737,107,38
170,Under The Influence,Chris Brown,1,04-10-2019,3859,26,929964809,133,181
171,PRC,"Natanael Cano, Peso Pluma",2,23-01-2023,961,26,436027885,19,143
172,Gasolina,Daddy Yankee,1,13-07-2004,6457,18,657723613,98,95
173,One Dance,"Drake, WizKid, Kyla",3,04-04-2016,43257,24,2713922350,433,107
174,Enchanted,Taylor Swift,1,01-01-2010,4564,16,621660989,24,101
175,Save Your Tears,The Weeknd,1,20-03-2020,12688,13,1591223784,197,115
