Years,Geo_Level,State_ANSI,Commodity_ID,Quantity
2017,STATE,21,2,190000
2017,STATE,22,2,3483000
2017,STATE,23,2,396000
2017,STATE,26,2,3915000
2017,STATE,27,2,7812000
2017,STATE,28,2,1548000
2017,STATE,29,2,520000
2017,STATE,30,2,10440000
2017,STATE,31,2,2646000
2017,STATE,34,2,364000
2017,STATE,36,2,3192000
2017,STATE,37,2,451000
2017,STATE,38,2,33670000
2017,STATE,39,2,1095000
2017,STATE,41,2,3120000
2017,STATE,,2,1518000
2017,STATE,42,2,736000
2017,STATE,45,2,544000
2017,STATE,46,2,14535000
2017,STATE,47,2,287000
2017,STATE,48,2,7920000
2017,STATE,49,2,837000
2017,STATE,50,2,378000
2017,STATE,51,2,210000
2017,STATE,53,2,3465000
2017,STATE,54,2,240000
2017,STATE,55,2,2968000
2017,STATE,56,2,2067000
2016,STATE,1,2,364000
2016,STATE,4,2,1242000
2016,STATE,5,2,1656000
2016,STATE,6,2,11160000
2016,STATE,8,2,1280000
2016,STATE,12,2,10750000
2016,STATE,13,2,3744000
2016,STATE,15,2,2034000
2016,STATE,16,2,3298000
2016,STATE,17,2,480000
2016,STATE,18,2,496000
2016,STATE,19,2,1776000
2016,STATE,20,2,336000
2016,STATE,21,2,230000
2016,STATE,22,2,4300000
2016,STATE,23,2,408000
2016,STATE,26,2,5340000
2016,STATE,27,2,7316000
2016,STATE,28,2,1615000
2016,STATE,29,2,496000
2016,STATE,30,2,12243000
2016,STATE,31,2,2208000
2016,STATE,34,2,324000
2016,STATE,36,2,3648000
2016,STATE,37,2,444000
2016,STATE,38,2,37830000
2016,STATE,39,2,1185000
2016,STATE,41,2,2590000
2016,STATE,,2,1601000
2016,STATE,42,2,950000
2016,STATE,45,2,720000
2016,STATE,46,2,19880000
2016,STATE,47,2,330000
2016,STATE,48,2,9310000
2016,STATE,49,2,992000
2016,STATE,50,2,312000
2016,STATE,51,2,190000
2016,STATE,53,2,2940000
2016,STATE,54,2,160000
2016,STATE,55,2,3348000
2016,STATE,56,2,2720000
2015,STATE,1,2,329000
2015,STATE,4,2,1274000
2015,STATE,5,2,1728000
2015,STATE,6,2,8250000
2015,STATE,8,2,1479000
2015,STATE,12,2,11880000
2015,STATE,13,2,2760000
2015,STATE,15,2,1632000
2015,STATE,16,2,2848000
2015,STATE,17,2,408000
2015,STATE,18,2,318000
2015,STATE,19,2,1800000
2015,STATE,20,2,288000
2015,STATE,21,2,230000
2015,STATE,22,2,4356000
2015,STATE,23,2,470000
2015,STATE,26,2,5220000
2015,STATE,27,2,8296000
2015,STATE,28,2,1245000
2015,STATE,29,2,520000
2015,STATE,30,2,12118000
2015,STATE,31,2,2736000
2015,STATE,34,2,324000
2015,STATE,36,2,3596000
2015,STATE,37,2,540000
2015,STATE,38,2,36260000
2015,STATE,39,2,850000
2015,STATE,41,2,2698000
2015,STATE,,2,1168000
2015,STATE,42,2,901000
2015,STATE,45,2,938000
2015,STATE,46,2,19140000
2015,STATE,47,2,413000
2015,STATE,48,2,8316000
2015,STATE,49,2,1134000
2015,STATE,50,2,260000
2015,STATE,51,2,185000
2015,STATE,53,2,3212000
2015,STATE,54,2,175000
2015,STATE,55,2,3484000
2015,STATE,56,2,2926000
2014,STATE,1,2,371000
2014,STATE,4,2,1014000
2014,STATE,5,2,1365000
2014,STATE,6,2,12480000
2014,STATE,8,2,999000
2014,STATE,12,2,14700000
2014,STATE,13,2,4526000
2014,STATE,15,2,1395000
2014,STATE,16,2,3400000
2014,STATE,17,2,392000
2014,STATE,18,2,310000
2014,STATE,19,2,1505000
2014,STATE,20,2,525000
2014,STATE,21,2,235000
2014,STATE,22,2,4032000
2014,STATE,23,2,376000
2014,STATE,26,2,5733000
2014,STATE,27,2,7920000
2014,STATE,28,2,2240000
2014,STATE,29,2,564000
2014,STATE,30,2,14256000
2014,STATE,31,2,3750000
2014,STATE,34,2,360000
2014,STATE,36,2,3300000
2014,STATE,37,2,516000
2014,STATE,38,2,42140000
2014,STATE,39,2,915000
2014,STATE,41,2,2840000
2014,STATE,,2,1404000
2014,STATE,42,2,782000
2014,STATE,45,2,486000
2014,STATE,46,2,24360000
2014,STATE,47,2,441000
2014,STATE,48,2,9048000
2014,STATE,49,2,812000
2014,STATE,50,2,232000
2014,STATE,51,2,228000
2014,STATE,53,2,2992000
2014,STATE,54,2,186000
2014,STATE,55,2,2862000
2014,STATE,56,2,2318000
2013,STATE,1,2,364000
2013,STATE,4,2,1044000
2013,STATE,5,2,1320000
2013,STATE,6,2,10890000
2013,STATE,8,2,1118000
2013,STATE,12,2,13420000
2013,STATE,13,2,3350000
2013,STATE,15,2,1079000
2013,STATE,16,2,2656000
2013,STATE,17,2,336000
2013,STATE,18,2,282000
2013,STATE,19,2,1872000
2013,STATE,20,2,276000
2013,STATE,21,2,123000
2013,STATE,22,2,4900000
2013,STATE,23,2,301000
